date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:51	1098/1098	---M--	200	added ('OK')	image/gif	etag:W/%221098-1397206130468%22	http://www.ais.fju.edu.tw/layout/oneorange/image/ico_arrow.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/ico_arrow.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:52	1441/1441	---M--	200	added ('OK')	image/png	etag:W/%221441-1397206129184%22	http://www.ais.fju.edu.tw/layout/oneorange/image/hori_large.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/hori_large.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:52	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:20:51%20GMT	http://www.ais.fju.edu.tw/media/img/gradient/h300.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/media/img/gradient/h300.39.delayed	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:53	1400/1400	---M--	200	added ('OK')	image/png	etag:W/%221400-1397206149320%22	http://www.ais.fju.edu.tw/layout/oneorange/image/arrows2.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/arrows2.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:53	1091/1091	---M--	200	added ('OK')	image/png	etag:W/%221091-1397206151065%22	http://www.ais.fju.edu.tw/layout/oneorange/image/scroll_arrow.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/scroll_arrow.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/gallery.css)
11:20:54	1312/1312	---M--	200	added ('OK')	image/png	etag:W/%221312-1397206143119%22	http://www.ais.fju.edu.tw/layout/oneorange/image/arrow_top.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/arrow_top.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/gallery.css)
11:20:55	1288/1288	---M--	200	added ('OK')	image/png	etag:W/%221288-1397206127003%22	http://www.ais.fju.edu.tw/layout/oneorange/image/arrow_top2.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/arrow_top2.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/gallery.css)
11:20:55	4872/4872	---M--	200	added ('OK')	image/png	etag:W/%224872-1397206127553%22	http://www.ais.fju.edu.tw/layout/oneorange/image/enterpop1.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/enterpop1.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/gallery.css)
11:20:56	44743/44743	---M--	200	added ('OK')	text/css	etag:W/%2244743-1464664028523%22	http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp?version=EN)
11:20:57	33637/33637	---M--	200	added ('OK')	text/css	etag:W/%2233637-1388076575408%22	http://www.ais.fju.edu.tw/css/jquery-ui.css	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/css/jquery-ui.css	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp?version=EN)
11:20:58	585/585	---M--	200	added ('OK')	image/gif	etag:W/%22585-1404272372924%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:20:59	615/615	---M--	200	added ('OK')	image/gif	etag:W/%22615-1404272372950%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter1.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter1.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:20:59	580/580	---M--	200	added ('OK')	image/gif	etag:W/%22580-1404272373032%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter2.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter2.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:00	2226/2226	---M--	200	added ('OK')	image/gif	etag:W/%222226-1449557320645%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter3.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter3.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:01	2226/2226	---M--	200	added ('OK')	image/gif	etag:W/%222226-1449557320645%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter4.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter4.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
